t_ms,mode,phase,elapsed_s,target_c,measured_c,sensor_valid,error_c,p_term,i_term,d_term,pid_raw_pct,hard_cutoff,requested_heater_pct,applied_heater_pct,target_fan_pct,real_fan_pct,kp,ki,kd,protector_open,protector_trips,protector_ceiling_c
210195,MANUAL,IDLE,0,170.0,98.8,1,71.24,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
211195,MANUAL,IDLE,0,170.0,97.4,1,72.57,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
212195,MANUAL,IDLE,0,170.0,96.0,1,73.99,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
213195,MANUAL,IDLE,0,170.0,94.5,1,75.54,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
214196,MANUAL,IDLE,0,170.0,92.9,1,77.15,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,0,2,103.9
215195,MANUAL,IDLE,0,170.0,91.5,1,12.47,10.69,0.38,21.33,32.40,0,32,32,100,100,0.8576,0.0307,14.9737,0,2,103.9
216195,MANUAL,IDLE,0,170.0,89.9,1,14.07,12.06,0.81,22.21,35.08,0,35,35,100,100,0.8576,0.0307,14.9737,0,2,103.9
217195,MANUAL,IDLE,0,170.0,88.4,1,15.56,13.34,1.29,22.26,36.89,0,37,37,100,100,0.8576,0.0307,14.9737,0,2,103.9
218195,MANUAL,IDLE,0,170.0,86.8,1,17.12,14.68,1.82,22.62,39.12,0,39,39,100,100,0.8576,0.0307,14.9737,0,2,103.9
219195,MANUAL,IDLE,0,170.0,85.3,1,18.60,15.95,2.39,22.50,40.84,0,41,41,100,100,0.8576,0.0307,14.9737,0,2,103.9
220195,MANUAL,IDLE,0,170.0,84.0,1,19.97,17.13,3.00,21.82,41.95,0,42,42,100,100,0.8576,0.0307,14.9737,0,2,103.9
221195,MANUAL,IDLE,0,170.0,82.3,1,21.62,18.54,3.67,22.76,44.96,0,45,45,100,100,0.8576,0.0307,14.9737,0,2,103.9
